Name,organ,gene,median_FC,class,target,group
NC1,45-Meiosis II,NC,0.885477531,FALSE,Qtrt2,Qtrt2NC
NC4,43-Leptotene/Zygotene,NC,0.887377279,FALSE,Qtrt2,Qtrt2NC
NC6,44-Pachytene/Diplotene,NC,0.889533396,FALSE,Qtrt2,Qtrt2NC
NC1,44-Pachytene/Diplotene,NC,0.89089557,FALSE,Qtrt2,Qtrt2NC
NC8,45-Meiosis II,NC,0.895185658,FALSE,Qtrt2,Qtrt2NC
NC1,42-Spermatogonia,NC,0.898757038,FALSE,Qtrt2,Qtrt2NC
NC6,46-Round spermatid,NC,0.90642327,FALSE,Qtrt2,Qtrt2NC
NC1,43-Leptotene/Zygotene,NC,0.912461489,FALSE,Qtrt2,Qtrt2NC
NC6,46-Round spermatid,NC,0.923916084,FALSE,Qtrt2,Qtrt2NC
NC1,46-Round spermatid,NC,0.931711781,FALSE,Qtrt2,Qtrt2NC
NC4,46-Round spermatid,NC,0.935343619,FALSE,Qtrt2,Qtrt2NC
NC8,45-Meiosis II,NC,0.943971313,FALSE,Qtrt2,Qtrt2NC
NC2,44-Pachytene/Diplotene,NC,0.950336533,FALSE,Qtrt2,Qtrt2NC
NC2,44-Pachytene/Diplotene,NC,0.952726114,FALSE,Qtrt2,Qtrt2NC
NC2,45-Meiosis II,NC,0.954,FALSE,Qtrt2,Qtrt2NC
NC5,46-Round spermatid,NC,0.954143202,FALSE,Qtrt2,Qtrt2NC
NC4,43-Leptotene/Zygotene,NC,0.961430575,FALSE,Qtrt2,Qtrt2NC
NC8,46-Round spermatid,NC,0.965870526,FALSE,Qtrt2,Qtrt2NC
NC6,42-Spermatogonia,NC,0.969828238,FALSE,Qtrt2,Qtrt2NC
NC8,45-Meiosis II,NC,0.973938657,FALSE,Qtrt2,Qtrt2NC
NC8,42-Spermatogonia,NC,0.989306525,FALSE,Qtrt2,Qtrt2NC
NC8,46-Round spermatid,NC,0.991472504,FALSE,Qtrt2,Qtrt2NC
NC6,42-Spermatogonia,NC,0.996363636,FALSE,Qtrt2,Qtrt2NC
NC2,42-Spermatogonia,NC,0.999130208,FALSE,Qtrt2,Qtrt2NC
NC2,46-Round spermatid,NC,1.008642319,FALSE,Qtrt2,Qtrt2NC
NC2,45-Meiosis II,NC,1.012434783,FALSE,Qtrt2,Qtrt2NC
NC5,45-Meiosis II,NC,1.016358273,FALSE,Qtrt2,Qtrt2NC
NC2,43-Leptotene/Zygotene,NC,1.018695652,FALSE,Qtrt2,Qtrt2NC
NC8,43-Leptotene/Zygotene,NC,1.028110393,FALSE,Qtrt2,Qtrt2NC
NC3,46-Round spermatid,NC,1.036089023,FALSE,Qtrt2,Qtrt2NC
NC8,43-Leptotene/Zygotene,NC,1.03771531,FALSE,Qtrt2,Qtrt2NC
NC3,43-Leptotene/Zygotene,NC,1.039041855,FALSE,Qtrt2,Qtrt2NC
NC6,45-Meiosis II,NC,1.040559441,FALSE,Qtrt2,Qtrt2NC
NC3,45-Meiosis II,NC,1.04338931,FALSE,Qtrt2,Qtrt2NC
NC8,42-Spermatogonia,NC,1.043911376,FALSE,Qtrt2,Qtrt2NC
NC4,44-Pachytene/Diplotene,NC,1.049148553,FALSE,Qtrt2,Qtrt2NC
NC4,46-Round spermatid,NC,1.049563893,FALSE,Qtrt2,Qtrt2NC
NC4,42-Spermatogonia,NC,1.072089762,FALSE,Qtrt2,Qtrt2NC
NC2,45-Meiosis II,NC,1.084869967,FALSE,Qtrt2,Qtrt2NC
NC2,42-Spermatogonia,NC,1.085217391,FALSE,Qtrt2,Qtrt2NC
NC2,46-Round spermatid,NC,1.099043478,FALSE,Qtrt2,Qtrt2NC
NC3,46-Round spermatid,NC,1.106384981,FALSE,Qtrt2,Qtrt2NC
NC2,46-Round spermatid,NC,1.106854116,FALSE,Qtrt2,Qtrt2NC
NC4,42-Spermatogonia,NC,1.110799439,FALSE,Qtrt2,Qtrt2NC
NC4,45-Meiosis II,NC,1.111449536,FALSE,Qtrt2,Qtrt2NC
NC7,45-Meiosis II,NC,1.114198577,FALSE,Qtrt2,Qtrt2NC
NC2,43-Leptotene/Zygotene,NC,1.118086957,FALSE,Qtrt2,Qtrt2NC
NC6,43-Leptotene/Zygotene,NC,1.122237762,FALSE,Qtrt2,Qtrt2NC
NC3,46-Round spermatid,NC,1.128548291,FALSE,Qtrt2,Qtrt2NC
NC7,46-Round spermatid,NC,1.130870891,FALSE,Qtrt2,Qtrt2NC
NC7,44-Pachytene/Diplotene,NC,1.131277533,FALSE,Qtrt2,Qtrt2NC
NC8,44-Pachytene/Diplotene,NC,1.133284093,FALSE,Qtrt2,Qtrt2NC
NC4,46-Round spermatid,NC,1.13512391,FALSE,Qtrt2,Qtrt2NC
NC5,42-Spermatogonia,NC,1.184983438,FALSE,Qtrt2,Qtrt2NC
NC3,42-Spermatogonia,NC,1.188389737,FALSE,Qtrt2,Qtrt2NC
NC7,44-Pachytene/Diplotene,NC,1.202846493,FALSE,Qtrt2,Qtrt2NC
NC3,43-Leptotene/Zygotene,NC,1.213451539,FALSE,Qtrt2,Qtrt2NC
NC4,43-Leptotene/Zygotene,NC,1.226086957,FALSE,Qtrt2,Qtrt2NC
NC5,44-Pachytene/Diplotene,NC,1.229820327,FALSE,Qtrt2,Qtrt2NC
NC7,46-Round spermatid,NC,1.232937987,FALSE,Qtrt2,Qtrt2NC
NC4,45-Meiosis II,NC,1.247545582,FALSE,Qtrt2,Qtrt2NC
NC8,46-Round spermatid,NC,1.254146243,FALSE,Qtrt2,Qtrt2NC
NC3,45-Meiosis II,NC,1.256575542,FALSE,Qtrt2,Qtrt2NC
NC5,43-Leptotene/Zygotene,NC,1.257977122,FALSE,Qtrt2,Qtrt2NC
NC4,44-Pachytene/Diplotene,NC,1.269845722,FALSE,Qtrt2,Qtrt2NC
NC5,42-Spermatogonia,NC,1.272426249,FALSE,Qtrt2,Qtrt2NC
NC8,44-Pachytene/Diplotene,NC,1.27590143,FALSE,Qtrt2,Qtrt2NC
NC5,45-Meiosis II,NC,1.279650813,FALSE,Qtrt2,Qtrt2NC
NC7,42-Spermatogonia,NC,1.282144716,FALSE,Qtrt2,Qtrt2NC
NC7,43-Leptotene/Zygotene,NC,1.293076523,FALSE,Qtrt2,Qtrt2NC
NC5,44-Pachytene/Diplotene,NC,1.293196869,FALSE,Qtrt2,Qtrt2NC
NC5,42-Spermatogonia,NC,1.299969898,FALSE,Qtrt2,Qtrt2NC
NC7,46-Round spermatid,NC,1.306741281,FALSE,Qtrt2,Qtrt2NC
NC5,43-Leptotene/Zygotene,NC,1.316676701,FALSE,Qtrt2,Qtrt2NC
NC3,44-Pachytene/Diplotene,NC,1.318966734,FALSE,Qtrt2,Qtrt2NC
NC5,46-Round spermatid,NC,1.33564118,FALSE,Qtrt2,Qtrt2NC
NC2,44-Pachytene/Diplotene,NC,1.341652174,FALSE,Qtrt2,Qtrt2NC
NC5,43-Leptotene/Zygotene,NC,1.349187237,FALSE,Qtrt2,Qtrt2NC
NC7,43-Leptotene/Zygotene,NC,1.349687663,FALSE,Qtrt2,Qtrt2NC
NC5,44-Pachytene/Diplotene,NC,1.365513543,FALSE,Qtrt2,Qtrt2NC
NC5,45-Meiosis II,NC,1.396146899,FALSE,Qtrt2,Qtrt2NC
NC5,46-Round spermatid,NC,1.418074551,FALSE,Qtrt2,Qtrt2NC
NC4,44-Pachytene/Diplotene,NC,1.422539111,FALSE,Qtrt2,Qtrt2NC
NC2,43-Leptotene/Zygotene,NC,1.465304348,FALSE,Qtrt2,Qtrt2NC
NC4,45-Meiosis II,NC,1.465497896,FALSE,Qtrt2,Qtrt2NC
NC4,42-Spermatogonia,NC,1.492398649,FALSE,Qtrt2,Qtrt2NC
NC2,42-Spermatogonia,NC,1.564695652,FALSE,Qtrt2,Qtrt2NC
NC7,45-Meiosis II,NC,1.589796981,FALSE,Qtrt2,Qtrt2NC
NC7,42-Spermatogonia,NC,1.609999361,FALSE,Qtrt2,Qtrt2NC
Qtrt2,25-Tail epidermis,Qtrt2,0.316872777,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,25-Tail epidermis,Qtrt2,0.329259966,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,11-Muscle,Qtrt2,0.337358491,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,25-Tail epidermis,Qtrt2,0.338474636,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,25-Tail epidermis,NC,0.339970469,TRUE,Qtrt2,Qtrt2NC
Qtrt2,24-Tongue,Qtrt2,0.397668571,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,12-Thyroid,Qtrt2,0.402624067,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,17-Ear lobe,Qtrt2,0.406201253,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,29-Large intestine(epithelium),Qtrt2,0.417715234,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,26-Large intestine(basal layer),Qtrt2,0.421102709,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,17-Ear lobe,Qtrt2,0.432330053,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,24-Tongue,NC,0.43927068,TRUE,Qtrt2,Qtrt2NC
Qtrt2,35-LN,Qtrt2,0.440635417,TRUE,Qtrt2,Qtrt2Qtrt2
NC2,36-Spleen,NC,0.44568448,TRUE,Qtrt2,Qtrt2NC
NC8,25-Tail epidermis,NC,0.452582673,TRUE,Qtrt2,Qtrt2NC
NC4,40-Spleen CD8 naive,NC,0.455130523,TRUE,Qtrt2,Qtrt2NC
Qtrt2,24-Tongue,Qtrt2,0.46386137,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,24-Tongue,Qtrt2,0.464851095,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,25-Tail skin dermis,Qtrt2,0.46696585,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,20-Skin,Qtrt2,0.469275245,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,13-Brown fat(bFat),Qtrt2,0.469577294,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,09-Optic nerve,Qtrt2,0.476342141,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,29-Large intestine(epithelium),Qtrt2,0.487421254,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,25-Tail skin dermis,Qtrt2,0.495778867,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,23-Crude tail,Qtrt2,0.499704761,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,11-Muscle,Qtrt2,0.500371979,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,34-Spleen NK,Qtrt2,0.504959052,TRUE,Qtrt2,Qtrt2Qtrt2
NC4,31-Spleen Treg,NC,0.506073347,TRUE,Qtrt2,Qtrt2NC
Qtrt2,26-Large intestine(basal layer),Qtrt2,0.512486943,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,11-Muscle,NC,0.518459252,TRUE,Qtrt2,Qtrt2NC
Qtrt2,20-Skin,Qtrt2,0.521065802,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,29-Large intestine(epithelium),NC,0.5250927,TRUE,Qtrt2,Qtrt2NC
Qtrt2,23-Crude tail,Qtrt2,0.526115107,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,27-Small intestine(basal layer),Qtrt2,0.529190367,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,23-Crude tail,Qtrt2,0.532367337,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,20-Skin,Qtrt2,0.535682957,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,10-Heart,Qtrt2,0.536847203,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,06-Hypothalamus,NC,0.537420179,TRUE,Qtrt2,Qtrt2NC
Qtrt2,09-Optic nerve,Qtrt2,0.538284341,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,10-Heart,NC,0.542162515,TRUE,Qtrt2,Qtrt2NC
NC8,09-Optic nerve,NC,0.542582418,TRUE,Qtrt2,Qtrt2NC
NC5,30-LN Treg,NC,0.54286921,TRUE,Qtrt2,Qtrt2NC
NC5,41-Spleen CD4 naive,NC,0.545702282,TRUE,Qtrt2,Qtrt2NC
NC4,32-Spleen CD4 effector/memory,NC,0.54653026,TRUE,Qtrt2,Qtrt2NC
Qtrt2,19-Perigonadal fat(pFat),Qtrt2,0.547737551,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,25-Tail epidermis,NC,0.548513045,TRUE,Qtrt2,Qtrt2NC
NC8,24-Tongue,NC,0.549156996,TRUE,Qtrt2,Qtrt2NC
NC4,32-Spleen CD4 effector/memory,NC,0.555205577,TRUE,Qtrt2,Qtrt2NC
Qtrt2,15-Salivary gland,Qtrt2,0.556925827,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,23-Crude tail,NC,0.558657665,TRUE,Qtrt2,Qtrt2NC
NC8,13-Brown fat(bFat),NC,0.559189773,TRUE,Qtrt2,Qtrt2NC
Qtrt2,27-Small intestine(basal layer),Qtrt2,0.559277061,TRUE,Qtrt2,Qtrt2Qtrt2
NC4,36-Spleen,NC,0.5676098,TRUE,Qtrt2,Qtrt2NC
Qtrt2,23-Crude tail,Qtrt2,0.570069473,TRUE,Qtrt2,Qtrt2Qtrt2
NC5,37-Spleen CD8 central memory,NC,0.571334245,TRUE,Qtrt2,Qtrt2NC
NC1,29-Large intestine(epithelium),NC,0.572664579,TRUE,Qtrt2,Qtrt2NC
Qtrt2,29-Large intestine(epithelium),Qtrt2,0.572799923,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,22-Liver,Qtrt2,0.576568654,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,25-Tail epidermis,NC,0.576602291,TRUE,Qtrt2,Qtrt2NC
Qtrt2,28-Small intestine(epithelium),Qtrt2,0.581021247,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,01-Eyeball,Qtrt2,0.581381137,TRUE,Qtrt2,Qtrt2Qtrt2
NC1,41-Spleen CD4 naive,NC,0.582682883,TRUE,Qtrt2,Qtrt2NC
Qtrt2,25-Tail skin dermis,Qtrt2,0.586755009,TRUE,Qtrt2,Qtrt2Qtrt2
NC2,41-Spleen CD4 naive,NC,0.590133607,TRUE,Qtrt2,Qtrt2NC
Qtrt2,38-Spleen CD8 effector/memory,Qtrt2,0.599827068,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,12-Thyroid,Qtrt2,0.599862545,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,15-Salivary gland,Qtrt2,0.600133788,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,25-Tail epidermis,Qtrt2,0.600674878,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,23-Crude tail,NC,0.602042704,TRUE,Qtrt2,Qtrt2NC
Qtrt2,19-Perigonadal fat(pFat),Qtrt2,0.602475492,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,38-Spleen CD8 effector/memory,Qtrt2,0.605227125,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,26-Large intestine(basal layer),Qtrt2,0.610754717,TRUE,Qtrt2,Qtrt2Qtrt2
NC1,15-Salivary gland,NC,0.61359127,TRUE,Qtrt2,Qtrt2NC
NC1,28-Small intestine(epithelium),NC,0.61542192,TRUE,Qtrt2,Qtrt2NC
NC8,41-Spleen CD4 naive,NC,0.616648195,TRUE,Qtrt2,Qtrt2NC
Qtrt2,23-Crude tail,Qtrt2,0.617213516,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,39-Whole blood,Qtrt2,0.62023209,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,19-Perigonadal fat(pFat),Qtrt2,0.621133718,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,17-Ear lobe,Qtrt2,0.621922085,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,25-Tail epidermis,NC,0.62226398,TRUE,Qtrt2,Qtrt2NC
Qtrt2,01-Eyeball,Qtrt2,0.623172891,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,01-Eyeball,Qtrt2,0.623543459,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,22-Liver,Qtrt2,0.623628658,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,26-Large intestine(basal layer),Qtrt2,0.62609204,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,06-Hypothalamus,Qtrt2,0.626497117,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,11-Muscle,Qtrt2,0.627107741,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,11-Muscle,Qtrt2,0.628246753,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,07-Brain stem,Qtrt2,0.629623523,TRUE,Qtrt2,Qtrt2Qtrt2
NC7,25-Tail epidermis,NC,0.633786408,TRUE,Qtrt2,Qtrt2NC
Qtrt2,24-Tongue,Qtrt2,0.634834948,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,25-Tail skin dermis,Qtrt2,0.636588351,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,25-Tail skin dermis,NC,0.637179768,TRUE,Qtrt2,Qtrt2NC
Qtrt2,27-Small intestine(basal layer),Qtrt2,0.638307873,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,07-Brain stem,NC,0.64010989,TRUE,Qtrt2,Qtrt2NC
Qtrt2,38-Spleen CD8 effector/memory,Qtrt2,0.640807097,TRUE,Qtrt2,Qtrt2Qtrt2
NC2,36-Spleen,NC,0.641051744,TRUE,Qtrt2,Qtrt2NC
NC1,01-Eyeball,NC,0.641154846,TRUE,Qtrt2,Qtrt2NC
Qtrt2,15-Salivary gland,Qtrt2,0.64253798,TRUE,Qtrt2,Qtrt2Qtrt2
NC4,07-Brain stem,NC,0.642576227,TRUE,Qtrt2,Qtrt2NC
Qtrt2,03-Cerebellum(flocculus),Qtrt2,0.643938076,TRUE,Qtrt2,Qtrt2Qtrt2
NC1,28-Small intestine(epithelium),NC,0.644617199,TRUE,Qtrt2,Qtrt2NC
Qtrt2,20-Skin,Qtrt2,0.646003886,TRUE,Qtrt2,Qtrt2Qtrt2
NC3,36-Spleen,NC,0.646516476,TRUE,Qtrt2,Qtrt2NC
NC8,05-Cerebral cortex,NC,0.649511645,TRUE,Qtrt2,Qtrt2NC
Qtrt2,33-LN NK,Qtrt2,0.650411577,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,26-Large intestine(basal layer),Qtrt2,0.651834835,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,13-Brown fat(bFat),Qtrt2,0.652264151,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,15-Salivary gland,Qtrt2,0.653618979,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,33-LN NK,Qtrt2,0.653629388,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,24-Tongue,NC,0.65515123,TRUE,Qtrt2,Qtrt2NC
NC4,33-LN NK,NC,0.655244669,TRUE,Qtrt2,Qtrt2NC
Qtrt2,41-Spleen CD4 naive,Qtrt2,0.655412361,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,33-LN NK,Qtrt2,0.657755166,TRUE,Qtrt2,Qtrt2Qtrt2
NC2,28-Small intestine(epithelium),NC,0.658377315,TRUE,Qtrt2,Qtrt2NC
NC8,10-Heart,NC,0.661528581,TRUE,Qtrt2,Qtrt2NC
NC1,29-Large intestine(epithelium),NC,0.662944928,TRUE,Qtrt2,Qtrt2NC
NC1,26-Large intestine(basal layer),NC,0.663540642,TRUE,Qtrt2,Qtrt2NC
NC4,05-Cerebral cortex,NC,0.666265673,TRUE,Qtrt2,Qtrt2NC
Qtrt2,01-Eyeball,Qtrt2,0.666711016,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,29-Large intestine(epithelium),Qtrt2,0.668735998,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,10-Heart,NC,0.668914579,TRUE,Qtrt2,Qtrt2NC
NC6,32-Spleen CD4 effector/memory,NC,0.669196783,TRUE,Qtrt2,Qtrt2NC
NC1,39-Whole blood,NC,0.669647746,TRUE,Qtrt2,Qtrt2NC
Qtrt2,32-Spleen CD4 effector/memory,Qtrt2,0.670605674,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,09-Optic nerve,Qtrt2,0.670636749,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,10-Heart,Qtrt2,0.672917601,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,29-Large intestine(epithelium),Qtrt2,0.673918324,TRUE,Qtrt2,Qtrt2Qtrt2
NC2,37-Spleen CD8 central memory,NC,0.675154602,TRUE,Qtrt2,Qtrt2NC
Qtrt2,02-Cerebellum(central part),Qtrt2,0.675793634,TRUE,Qtrt2,Qtrt2Qtrt2
NC1,15-Salivary gland,NC,0.676648885,TRUE,Qtrt2,Qtrt2NC
NC8,23-Crude tail,NC,0.677296727,TRUE,Qtrt2,Qtrt2NC
NC4,29-Large intestine(epithelium),NC,0.678214469,TRUE,Qtrt2,Qtrt2NC
Qtrt2,29-Large intestine(epithelium),Qtrt2,0.678418348,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,27-Small intestine(basal layer),NC,0.678553565,TRUE,Qtrt2,Qtrt2NC
NC1,28-Small intestine(epithelium),NC,0.678926033,TRUE,Qtrt2,Qtrt2NC
NC8,41-Spleen CD4 naive,NC,0.678973209,TRUE,Qtrt2,Qtrt2NC
NC6,05-Cerebral cortex,NC,0.679897125,TRUE,Qtrt2,Qtrt2NC
Qtrt2,13-Brown fat(bFat),Qtrt2,0.682699767,TRUE,Qtrt2,Qtrt2Qtrt2
NC3,38-Spleen CD8 effector/memory,NC,0.682801356,TRUE,Qtrt2,Qtrt2NC
NC8,17-Ear lobe,NC,0.683161813,TRUE,Qtrt2,Qtrt2NC
NC4,15-Salivary gland,NC,0.683779356,TRUE,Qtrt2,Qtrt2NC
NC4,34-Spleen NK,NC,0.683889271,TRUE,Qtrt2,Qtrt2NC
NC6,40-Spleen CD8 naive,NC,0.684150901,TRUE,Qtrt2,Qtrt2NC
NC5,28-Small intestine(epithelium),NC,0.685053629,TRUE,Qtrt2,Qtrt2NC
Qtrt2,27-Small intestine(basal layer),Qtrt2,0.685825737,TRUE,Qtrt2,Qtrt2Qtrt2
Qtrt2,02-Cerebellum(central part),Qtrt2,0.687065311,TRUE,Qtrt2,Qtrt2Qtrt2
NC8,02-Cerebellum(central part),NC,0.687359438,TRUE,Qtrt2,Qtrt2NC
Qtrt2,41-Spleen CD4 naive,Qtrt2,0.688392967,TRUE,Qtrt2,Qtrt2Qtrt2
NC4,37-Spleen CD8 central memory,NC,0.688707281,TRUE,Qtrt2,Qtrt2NC
NC3,41-Spleen CD4 naive,NC,0.689236791,TRUE,Qtrt2,Qtrt2NC
NC8,32-Spleen CD4 effector/memory,NC,0.690203447,TRUE,Qtrt2,Qtrt2NC
Qtrt2,28-Small intestine(epithelium),Qtrt2,0.690391459,TRUE,Qtrt2,Qtrt2Qtrt2
